,Planet Name,Host Star of Planet,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period in Days,Orbit Semi-Major Axis,Mass,Eccentricity,Spectral Type,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Metallicity,Stellar Metallicity Ratio,Stellar Surface Gravity,Distance,Gaia Magnitude
39,75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,2.1,953.49,0.117,G3 III,4846.0,10.5,2.49,0.0,[Fe/H],2.63,82.9613,5.09343
41,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,2.5,1684.4,0.206,G5 III,4785.0,11.0,2.4,-0.06,[Fe/H],2.35,101.26,5.37588
42,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,181.4,0.7,1017.0,0.027,K0 III,4665.0,11.0,1.4,-0.03,[Fe/H],2.52,44.0304,3.95311
49,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,137.48,0.539,352.78,0.26,K0,4796.0,14.7,1.1,0.28,[Fe/H],2.8,426.42,8.7178
51,BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,621.99,2.01,3963.17,0.18,K2 II,4137.0,49.0,2.8,-1.0,[Fe/H],1.51,1539.71,9.22684
52,BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,578.2,1.3,1334.886,0.21,K5 III,4296.0,17.3,0.8,-0.46,[Fe/H],1.99,1322.51,8.91613
55,BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,392.6,1.0,289.2253,0.2,K0 III,4414.0,11.0,0.74,-0.2,[Fe/H],2.24,871.493,8.65569
57,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,2590.0,4.2,508.5,0.35,K0,4943.0,7.6,1.52,-0.19,[Fe/H],2.85,442.042,9.02851
69,BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,655.6,1.34,1620.9,0.54,K5 V,4714.0,0.69,0.74,-0.03,[Fe/H],4.26,34.4603,9.20112
78,CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,13.2406,0.1055,874.0,0.53,K1 V,5075.0,0.79,0.89,0.26,[Fe/H],4.65,338.386,14.6645
79,CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,2.99433,0.0436,740.51,0.0,F6 V,6440.0,1.37,1.27,-0.03,[Fe/H],4.22,655.037,12.841
81,CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,4.03519,0.051,415.704,0.0,G0 V,5945.0,1.01,1.09,0.01,[Fe/H],4.46,1148.93,14.9147
82,CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,1.51214,0.027,2415.4,0.0,F9 V,6035.0,1.21,1.13,0.05,[Fe/H],4.35,1744.6,15.8116
83,CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,5.35227,0.0618,170.032,0.33,G5 V,5650.0,1.19,1.1,0.19,[M/H],4.36,732.409,15.6507
84,CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,3.7681,0.0461,772.29,0.0,G2 V,5740.0,1.59,1.04,0.0,[Fe/H],4.4,1176.12,15.4368
85,CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,1.9000693,0.0295,1102.82,0.08,G9 V,5440.0,1.0,0.95,-0.1,[Fe/H],4.4,764.889,14.8009
86,CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,3.89713,0.0518,352.78,0.047,F9 V,6090.0,1.65,1.21,-0.02,[Fe/H],4.07,790.663,13.7831
91,CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,9.75598,0.092,12.2,0.077,G3 V,5939.0,1.14,1.1,0.17,[Fe/H],4.36,627.158,13.7305
92,CoRoT-23 b,CoRoT-23,1,1,Transit,2011,CoRoT,3.6313,0.048,889.9,0.16,G0 V,5900.0,1.61,1.14,0.05,[Fe/H],4.3,1060.97,15.0681
93,CoRoT-24 b,CoRoT-24,1,2,Transit,2014,CoRoT,5.1134,0.056,5.7,0.0,K1 V,4950.0,0.86,0.91,0.3,[Fe/H],4.55,591.555,15.1801
94,CoRoT-24 c,CoRoT-24,1,2,Transit,2014,CoRoT,11.759,0.098,28.0,0.0,K1 V,4950.0,0.86,0.91,0.3,[Fe/H],4.55,591.555,15.1801
95,CoRoT-25 b,CoRoT-25,1,1,Transit,2013,CoRoT,4.86069,0.0578,85.81,0.0,F9,6040.0,1.19,1.09,-0.01,[Fe/H],4.31,1103.48,14.711
96,CoRoT-26 b,CoRoT-26,1,1,Transit,2013,CoRoT,4.20474,0.0526,165.26,0.0,G5,5590.0,1.79,1.09,0.01,[Fe/H],3.99,1045.18,15.4682
97,CoRoT-27 b,CoRoT-27,1,1,Transit,2014,CoRoT,3.57532,0.0476,3302.11,0.065,G2,5900.0,1.08,1.05,-0.1,[M/H],4.4,1010.28,15.3902
98,CoRoT-28 b,CoRoT-28,1,1,Transit,2015,CoRoT,5.20851,0.0603,153.82972,0.047,G8/9 IV,5150.0,1.78,1.01,0.15,[Fe/H],3.6,766.183,13.4119
99,CoRoT-29 b,CoRoT-29,1,1,Transit,2015,CoRoT,2.85057,0.0386,270.1555,0.082,K0 V,5260.0,0.9,0.97,0.2,[Fe/H],4.3,806.507,15.2394
101,CoRoT-30 b,CoRoT-30,1,1,Transit,2020,CoRoT,9.06005,0.0844,921.707,0.007,G3 V,5650.0,0.91,0.98,0.02,[Fe/H],4.4,1032.23,15.413
102,CoRoT-31 b,CoRoT-31,1,1,Transit,2020,CoRoT,4.62941,0.0586,266.9772,0.02,G2 IV,5700.0,2.15,1.25,0.0,[Fe/H],3.85,2005.76,15.4655
104,CoRoT-5 b,CoRoT-5,1,1,Transit,2009,CoRoT,4.0378962,0.04947,148.42,0.09,F9 V,6100.0,1.19,1.0,-0.25,[M/H],4.19,882.472,13.9021
105,CoRoT-6 b,CoRoT-6,1,1,Transit,2009,CoRoT,8.886593,0.0855,940.74,0.1,F9 V,6090.0,1.02,1.05,-0.2,[Fe/H],4.43,645.294,13.7459
108,CoRoT-8 b,CoRoT-8,1,1,Transit,2010,CoRoT,6.21229,0.063,69.92,0.0,K1 V,5080.0,0.77,0.88,0.3,[M/H],4.58,322.037,14.2195
160,EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,K2,3.5951,0.047,8.75,0.06,G8 IV/V,5430.0,1.71,1.05,0.2,[Fe/H],3.99,321.296,11.4019
161,EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,K2,15.624,0.13,14.67,0.07,G8 IV/V,5430.0,1.71,1.05,0.2,[Fe/H],3.99,321.296,11.4019
162,EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,K2,35.747,0.22,10.18,0.15,G8 IV/V,5430.0,1.71,1.05,0.2,[Fe/H],3.99,321.296,11.4019
175,GJ 1214 b,GJ 1214,1,1,Transit,2009,MEarth Project,1.58040433,0.0149,8.17,0.063,M4 V,3250.0,0.21,0.18,0.29,[Fe/H],5.03,14.6427,13.0089
177,GJ 1265 b,GJ 1265,1,1,Radial Velocity,2018,Calar Alto Observatory,3.6511,0.026,7.4,0.04,M4.5 V,3236.0,0.19,0.18,-0.04,[Fe/H],5.09,10.2525,12.0807
178,GJ 143 b,GJ 143,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),35.61253,0.1915,22.7,0.188,K4.5,4640.0,0.69,0.73,0.003,[Fe/H],4.61,16.32,7.67906
179,GJ 15 A b,GJ 15 A,2,2,Radial Velocity,2014,W. M. Keck Observatory,11.4407,0.072,3.03,0.094,M1,3607.0,0.38,0.38,-0.34,[Fe/H],4.87,3.56228,7.2162
180,GJ 15 A c,GJ 15 A,2,2,Radial Velocity,2018,Roque de los Muchachos Observatory,7600.0,5.4,36.0,0.27,M1,3607.0,0.38,0.38,-0.34,[Fe/H],4.87,3.56228,7.2162
185,GJ 179 b,GJ 179,1,1,Radial Velocity,2009,W. M. Keck Observatory,2288.0,2.41,260.61,0.21,M3.5 V,3370.0,0.38,0.36,0.3,[Fe/H],4.83,12.356,10.7055
192,GJ 251 b,GJ 251,1,1,Radial Velocity,2020,W. M. Keck Observatory,14.238,0.0818,4.0,0.1,M3.0 V,3451.0,0.36,0.36,-0.03,[Fe/H],4.96,5.58057,8.85518
196,GJ 3021 b,GJ 3021,2,1,Radial Velocity,2000,La Silla Observatory,133.71,0.49,1071.04,0.511,G6 V,5540.0,0.9,0.9,0.1,[Fe/H],4.7,17.5559,6.39729
211,GJ 338 B b,GJ 338 B,2,1,Radial Velocity,2020,Calar Alto Observatory,24.45,0.141,10.27,0.11,M0.0 V,4005.0,0.58,0.64,-0.03,[Fe/H],4.68,6.33256,7.04775
220,GJ 3779 b,GJ 3779,1,1,Radial Velocity,2018,Calar Alto Observatory,3.0232,0.026,8.0,0.07,M4.0 V,3324.0,0.28,0.27,0.0,[Fe/H],5.05,13.743,11.6266
222,GJ 3942 b,GJ 3942,1,1,Radial Velocity,2017,Roque de los Muchachos Observatory,6.905,0.0608,7.14,0.121,M0,3867.0,0.61,0.63,-0.04,[Fe/H],4.65,16.9287,9.40765
223,GJ 3998 b,GJ 3998,1,2,Radial Velocity,2016,Roque de los Muchachos Observatory,2.64977,0.029,2.47,0.0,M1,3722.0,0.49,0.5,-0.16,[Fe/H],4.77,18.1459,9.98337
224,GJ 3998 c,GJ 3998,1,2,Radial Velocity,2016,Roque de los Muchachos Observatory,13.74,0.089,6.26,0.049,M1,3722.0,0.49,0.5,-0.16,[Fe/H],4.77,18.1459,9.98337
226,GJ 414 A b,GJ 414 A,2,2,Radial Velocity,2021,W. M. Keck Observatory,50.8,0.2324,7.6,0.45,K7 V,4120.0,0.68,0.65,0.24,[Fe/H],4.65,11.8893,7.72808
227,GJ 414 A c,GJ 414 A,2,2,Radial Velocity,2021,W. M. Keck Observatory,749.83,1.4,53.83,0.105,K7 V,4120.0,0.68,0.65,0.24,[Fe/H],4.65,11.8893,7.72808
229,GJ 4276 b,GJ 4276,1,1,Radial Velocity,2019,Calar Alto Observatory,13.352,0.082,16.57,0.37,M4.0,3387.0,0.41,0.41,0.12,[Fe/H],4.97,21.3362,11.6605
237,GJ 536 b,GJ 536,1,1,Radial Velocity,2016,La Silla Observatory,8.7076,0.06661,5.36,0.08,M1 V,3685.0,0.5,0.52,-0.08,[Fe/H],4.75,10.4092,8.85881
241,GJ 625 b,GJ 625,1,1,Radial Velocity,2017,Multiple Observatories,14.628,0.078361,2.82,0.13,M2,3499.0,0.31,0.3,-0.38,[Fe/H],4.94,6.47249,9.13702
255,GJ 685 b,GJ 685,1,1,Radial Velocity,2019,Qatar,24.16,0.1344,9.0,0.0,M0.5,3816.0,0.54,0.55,-0.15,[Fe/H],4.72,14.3155,9.1671
258,GJ 720 A b,GJ 720 A,2,1,Radial Velocity,2021,Roque de los Muchachos Observatory,19.466,0.119,13.64,0.12,M0.5 V,3837.0,0.56,0.57,-0.14,[Fe/H],4.71,15.5575,9.10496
259,GJ 740 b,GJ 740,1,1,Radial Velocity,2021,Multiple Observatories,2.37756,0.029,2.96,0.24,M1.0 V,3913.0,0.56,0.58,0.08,[Fe/H],4.68,11.1017,8.45636
274,GJ 9689 b,GJ 9689,1,1,Radial Velocity,2020,Roque de los Muchachos Observatory,18.27,0.1139,9.65,0.29,M0.5,3836.0,0.57,0.59,0.05,[Fe/H],4.69,30.6203,10.5372
278,GPX-1 b,GPX-1,1,1,Transit,2021,Acton Sky Portal Observatory,1.744579,0.0338,6261.21962,0.0,F2,7000.0,1.56,1.68,0.35,[Fe/H],4.27,655.013,12.2228
283,Gl 49 b,Gl 49,2,1,Radial Velocity,2019,Multiple Observatories,13.8508,0.0905,5.63,0.363,M1.5 V,3805.0,0.51,0.52,0.13,[Fe/H],4.69,9.8528,8.66282
288,HAT-P-12 b,HAT-P-12,1,1,Transit,2009,HATNet,3.2130598,0.0384,67.059,0.0,K4,4650.0,0.7,0.73,-0.29,[Fe/H],4.61,142.751,12.4197
293,HAT-P-16 b,HAT-P-16,3,1,Transit,2010,HATNet,2.77596,0.0413,1332.605,0.036,F8,6158.0,1.24,1.22,0.17,[Fe/H],4.34,226.637,10.7568
296,HAT-P-18 b,HAT-P-18,1,1,Transit,2010,HATNet,5.508023,0.0559,62.61,0.084,K2,4803.0,0.75,0.77,0.1,[Fe/H],4.57,161.4,12.3682
297,HAT-P-19 b,HAT-P-19,1,1,Transit,2010,HATNet,4.008778,0.0466,92.802,0.067,K1,4990.0,0.82,0.84,0.23,[Fe/H],4.54,202.078,12.5567
299,HAT-P-20 b,HAT-P-20,1,1,Transit,2010,HATNet,2.875317,0.0361,2302.899,0.015,K3,4595.0,0.69,0.76,0.35,[Fe/H],4.63,71.0374,10.9903
307,HAT-P-28 b,HAT-P-28,1,1,Transit,2011,HATNet,3.257215,0.0434,198.953,0.051,G3,5680.0,1.1,1.02,0.12,[Fe/H],4.36,401.319,12.8718
347,HAT-P-65 b,HAT-P-65,1,1,Transit,2016,HATNet,2.6054552,0.03951,167.49641,0.304,G2,5835.0,1.86,1.21,0.1,[Fe/H],3.98,738.519,12.9952
348,HAT-P-66 b,HAT-P-66,1,1,Transit,2016,HATNet,2.972086,0.04363,248.86089,0.09,G0,6002.0,1.88,1.25,0.035,[Fe/H],3.99,935.456,12.8922
350,HAT-P-68 b,HAT-P-68,1,1,Transit,2020,HATNet,2.29840551,0.02996,230.10892,0.041,K,4508.0,0.67,0.68,-0.059,[Fe/H],4.62,202.152,13.5442
362,HATS-15 b,HATS-15,1,1,Transit,2016,HATSouth,1.74748753,0.02712,689.6911,0.126,G9 V,5311.0,0.92,0.87,0.0,[Fe/H],4.45,1139.55,14.6473
363,HATS-16 b,HATS-16,1,1,Transit,2016,HATSouth,2.686502,0.03744,1039.3041,0.0,G3 V,5738.0,1.24,0.97,-0.1,[Fe/H],4.24,757.044,13.6864
364,HATS-17 b,HATS-17,1,1,Transit,2016,HATSouth,16.254611,0.1308,425.25654,0.029,G V,5846.0,1.09,1.13,0.3,[Fe/H],4.42,400.331,12.2179
366,HATS-2 b,HATS-2,1,1,Transit,2013,HATSouth,1.354133,0.023,427.463,0.0,K,5227.0,0.9,0.88,0.15,[Fe/H],4.48,341.925,13.3419
367,HATS-22 b,HATS-22,1,1,Transit,2017,HATSouth,4.7228124,0.05025,870.8542,0.079,K V,4803.0,0.69,0.76,0.0,[Fe/H],4.64,229.518,13.1225
368,HATS-23 b,HATS-23,1,1,Transit,2017,HATSouth,2.1605156,0.03397,467.2101,0.114,G V,5780.0,1.2,1.12,0.28,[Fe/H],4.33,639.004,13.752
370,HATS-25 b,HATS-25,1,1,Transit,2016,HATSouth,4.2986432,0.05163,194.82979,0.176,G,5715.0,1.11,0.99,0.02,[Fe/H],4.35,471.158,12.9353
371,HATS-26 b,HATS-26,1,1,Transit,2016,HATSouth,3.3023881,0.04735,206.5895,0.245,F,6071.0,2.04,1.3,-0.02,[Fe/H],3.94,861.843,12.8431
372,HATS-27 b,HATS-27,1,1,Transit,2016,HATSouth,4.637038,0.0611,168.4499,0.581,F,6438.0,1.74,1.42,0.09,[Fe/H],4.11,816.988,12.6792
373,HATS-28 b,HATS-28,1,1,Transit,2016,HATSouth,3.1810781,0.04131,213.58176,0.202,G,5498.0,0.92,0.93,0.01,[Fe/H],4.48,535.383,13.7929
374,HATS-29 b,HATS-29,1,1,Transit,2016,HATSouth,4.6058749,0.05475,207.54299,0.158,G,5670.0,1.07,1.03,0.16,[Fe/H],4.39,353.891,12.4594
375,HATS-3 b,HATS-3,1,1,Transit,2013,HATSouth,3.547851,0.0485,340.382,0.0,F,6351.0,1.4,1.21,-0.157,[Fe/H],4.22,411.211,11.8914
376,HATS-30 b,HATS-30,2,1,Transit,2016,HATSouth,3.1743516,0.04354,224.38798,0.096,G,5943.0,1.06,1.09,0.06,[Fe/H],4.42,342.14,12.0815
386,HATS-4 b,HATS-4,1,1,Transit,2014,HATSouth,2.516729,0.0362,420.471,0.013,G,5403.0,0.93,1.0,0.43,[Fe/H],4.51,416.459,13.2862
397,HATS-5 b,HATS-5,1,1,Transit,2014,HATSouth,4.763387,0.0542,75.323,0.019,G,5304.0,0.87,0.94,0.19,[Fe/H],4.53,246.384,12.4288
409,HATS-6 b,HATS-6,1,1,Transit,2015,HATSouth,3.3252725,0.03623,101.38777,0.0,M1 V,3724.0,0.57,0.57,0.2,[Fe/H],4.68,169.318,14.3601
420,HATS-7 b,HATS-7,1,1,Transit,2015,HATSouth,3.185315,0.04012,38.1396,0.17,K2,4985.0,0.81,0.85,0.25,[Fe/H],4.54,240.707,13.0499
422,HATS-71 b,HATS-71,1,1,Transit,2020,HATSouth,3.7955202,0.03745,117.5971,0.0,M3 V,3405.0,0.48,0.49,0.17,[Fe/H],4.77,140.225,15.3512
445,HD 103720 b,HD 103720,1,1,Radial Velocity,2014,La Silla Observatory,4.5557,0.0498,197.046,0.086,K3 V,5017.0,0.73,0.79,-0.02,[Fe/H],4.43,45.5352,9.22376
450,HD 104985 b,HD 104985,1,1,Radial Velocity,2003,Okayama Astrophysical Observatory,199.505,0.95,2637.9,0.09,G9 III,4877.0,11.0,2.3,-0.15,[Fe/H],2.85,100.576,5.49698
453,HD 106315 b,HD 106315,1,2,Transit,2017,K2,9.55237,0.0907,12.6,0.093,F5 V,6327.0,1.3,1.09,-0.311,[Fe/H],4.25,109.353,8.88841
454,HD 106315 c,HD 106315,1,2,Transit,2017,K2,21.05704,0.1536,15.2,0.22,F5 V,6327.0,1.3,1.09,-0.311,[Fe/H],4.25,109.353,8.88841
455,HD 10647 b,HD 10647,1,1,Radial Velocity,2006,W. M. Keck Observatory,989.2,2.015,298.75,0.15,F9 V,6218.0,1.1,1.11,0.0,[Fe/H],4.62,17.3357,5.38178
456,HD 106515 A b,HD 106515 A,2,1,Radial Velocity,2012,La Silla Observatory,3630.0,4.59,3054.22,0.572,G5,5362.0,1.62,0.97,0.03,[Fe/H],4.41,34.0915,7.7777
467,HD 108341 b,HD 108341,2,1,Radial Velocity,2014,La Silla Observatory,1129.0,2.0,1112.4,0.85,K2 V,5122.0,0.79,0.84,0.04,[Fe/H],4.45,48.9102,9.14337
474,HD 109286 b,HD 109286,1,1,Radial Velocity,2021,Haute-Provence Observatory,520.1,1.259,950.30694,0.338,G4 V,5694.0,1.09,0.98,0.05,[Fe/H],4.44,55.4156,8.61599
476,HD 110014 b,HD 110014,1,1,Radial Velocity,2009,La Silla Observatory,835.477,2.14,3524.59,0.462,K2 III,4445.0,20.9,2.17,0.19,[Fe/H],2.1,100.758,4.31048
478,HD 110113 b,HD 110113,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),2.541,0.035,4.55,0.093,G,5732.0,0.97,1.0,0.14,[Fe/H],4.46,106.307,9.91036
479,HD 110113 c,HD 110113,1,2,Radial Velocity,2021,La Silla Observatory,6.744,0.068,10.5,0.045,G,5732.0,0.97,1.0,0.14,[Fe/H],4.46,106.307,9.91036
482,HD 111998 b,HD 111998,1,1,Radial Velocity,2016,La Silla Observatory,825.9,1.82,1433.4133,0.03,F5 V,6557.0,1.45,1.18,0.07,[Fe/H],4.19,33.2237,5.99548
483,HD 112640 b,HD 112640,1,1,Radial Velocity,2020,Bohyunsan Optical Astronomical Observatory,613.2,1.7,1589.15,0.24,K0 III,4155.0,39.0,1.8,-0.09,[Fe/H],1.7,323.335,6.07664
484,HD 113337 b,HD 113337,1,1,Radial Velocity,2013,Haute-Provence Observatory,324.0,0.92,899.42,0.46,F6 V,6576.6,1.5,1.4,0.07,[Fe/H],4.21,36.18,5.91168
485,HD 113538 b,HD 113538,1,2,Radial Velocity,2010,La Silla Observatory,663.2,1.24,114.41,0.14,K9 V,4462.0,0.53,0.58,-0.24,[Fe/H],3.79,16.2817,8.4428
486,HD 113538 c,HD 113538,1,2,Radial Velocity,2010,La Silla Observatory,1818.0,2.44,295.57,0.2,K9 V,4462.0,0.53,0.58,-0.24,[Fe/H],3.79,16.2817,8.4428
496,HD 115954 b,HD 115954,1,1,Radial Velocity,2021,Haute-Provence Observatory,3700.0,5.0,2634.79749,0.487,G0 V,5957.0,1.21,1.18,0.34,[Fe/H],4.15,87.6437,8.18736
506,HD 120084 b,HD 120084,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,2082.0,4.3,1430.2,0.66,G7 III,4892.0,9.12,2.39,0.09,[Fe/H],2.71,103.044,5.65211
522,HD 128356 b,HD 128356,1,1,Radial Velocity,2016,Multiple Observatories,298.2,0.87,282.8687,0.57,K3 V,4875.0,0.85,0.65,0.17,[Fe/H],4.52,26.1548,7.97745
544,HD 137496 b,HD 137496,1,2,Transit,2021,K2,1.62116,0.02732,4.04,0.0,G,5799.0,1.59,1.04,-0.03,[Fe/H],4.05,155.317,9.77168
545,HD 137496 c,HD 137496,1,2,Radial Velocity,2021,Multiple Observatories,479.9,1.2163,2434.5656,0.477,G,5799.0,1.59,1.04,-0.03,[Fe/H],4.05,155.317,9.77168
548,HD 13908 b,HD 13908,1,2,Radial Velocity,2013,Haute-Provence Observatory,19.382,0.154,274.91,0.02,F8 V,6255.0,1.67,1.29,0.01,[Fe/H],4.11,79.5515,7.3845
549,HD 13908 c,HD 13908,1,2,Radial Velocity,2013,Haute-Provence Observatory,931.0,2.03,1630.4,0.12,F8 V,6255.0,1.67,1.29,0.01,[Fe/H],4.11,79.5515,7.3845
553,HD 14067 b,HD 14067,1,1,Radial Velocity,2014,Okayama Astrophysical Observatory,1455.0,3.4,2479.0,0.533,G9 III,4815.0,12.4,2.4,-0.1,[Fe/H],2.61,142.024,6.23751
578,HD 147873 b,HD 147873,2,2,Radial Velocity,2016,Multiple Observatories,116.596,0.522,1633.6462,0.207,G1 V,5972.0,2.29,1.38,0.03,[Fe/H],3.86,109.055,7.81828
579,HD 147873 c,HD 147873,2,2,Radial Velocity,2016,Multiple Observatories,491.54,1.36,731.009,0.23,G1 V,5972.0,2.29,1.38,0.03,[Fe/H],3.86,109.055,7.81828
587,HD 150706 b,HD 150706,1,1,Radial Velocity,2012,Haute-Provence Observatory,5894.0,6.7,861.28,0.38,G0 V,5961.0,0.96,1.17,-0.01,[Fe/H],4.5,28.2697,6.85038
590,HD 152843 b,HD 152843,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),11.6264,0.1053,11.56,0.14,G0,6310.0,1.43,1.15,-0.16,[Fe/H],4.19,107.898,8.76412
592,HD 15337 b,HD 15337,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.75615,0.0522,7.51,0.09,K1 V,5125.0,0.86,0.9,0.15,[Fe/H],4.53,44.8155,8.85598
593,HD 15337 c,HD 15337,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),17.1784,0.1268,8.11,0.05,K1 V,5125.0,0.86,0.9,0.15,[Fe/H],4.53,44.8155,8.85598
599,HD 154857 c,HD 154857,1,2,Radial Velocity,2014,Anglo-Australian Telescope,3452.0,5.36,819.97,0.06,G5 V,5605.0,1.76,1.72,-0.2,[Fe/H],3.82,63.4482,7.04837
601,HD 155233 b,HD 155233,2,1,Radial Velocity,2015,Anglo-Australian Telescope,818.8,2.0,826.358,0.04,K1 III,4960.0,5.03,1.69,0.08,[Fe/H],3.17,74.2309,6.5449
606,HD 156411 b,HD 156411,1,1,Radial Velocity,2009,La Silla Observatory,842.2,1.88,235.18,0.22,F8 IV/V,5900.0,2.16,1.25,-0.12,[Fe/H],4.07,56.8655,6.5121
616,HD 158996 b,HD 158996,1,1,Radial Velocity,2018,Bohyunsan Optical Astronomical Observatory,820.2,2.1,4449.62,0.13,K5 III,4069.0,50.3,1.8,-0.2,[Fe/H],1.4,283.659,5.18609
617,HD 159243 b,HD 159243,1,2,Radial Velocity,2013,Haute-Provence Observatory,12.62,0.11,359.13,0.02,G0 V,6123.0,1.12,1.12,0.05,[Fe/H],4.55,73.3055,8.51188
618,HD 159243 c,HD 159243,1,2,Radial Velocity,2013,Haute-Provence Observatory,248.4,0.8,603.9,0.075,G0 V,6123.0,1.12,1.12,0.05,[Fe/H],4.55,73.3055,8.51188
640,HD 165155 b,HD 165155,1,1,Radial Velocity,2016,Multiple Observatories,434.5,1.13,918.5287,0.2,G8 V,5426.0,0.95,1.02,0.09,[Fe/H],4.49,63.3574,9.21413
641,HD 1666 b,HD 1666,1,1,Radial Velocity,2015,Multiple Observatories,270.0,0.94,2040.0,0.63,F7 V,6317.0,1.93,1.5,0.37,[Fe/H],4.06,117.908,8.05121
645,HD 168443 b,HD 168443,1,2,Radial Velocity,1998,W. M. Keck Observatory,58.11247,0.2931,2434.157,0.52883,G5,5491.0,1.51,0.99,0.04,[Fe/H],4.07,39.6245,6.73166
646,HD 168443 c,HD 168443,1,2,Radial Velocity,2000,W. M. Keck Observatory,1749.83,2.8373,5464.221,0.2113,G5,5491.0,1.51,0.99,0.04,[Fe/H],4.07,39.6245,6.73166
656,HD 173416 b,HD 173416,1,1,Radial Velocity,2008,Xinglong Station,323.6,1.16,858.1,0.21,G8,4683.0,13.5,2.0,-0.22,[Fe/H],2.48,132.184,5.75681
